feature,xgboost_importance,mean_abs_shap
days_between_txns,0.08697976,0.17725353
recency_days,0.018480668,0.1523373
first_purchase_days,0.015362196,0.13832337
monetary,0.048348308,0.13734823
frequency,0.09263468,0.13707459
txn_count_slope,0.055252597,0.12324929
spend_90d,0.049552392,0.110593624
spend_std_90d,0.15407786,0.07290998
total_quantity,0.03688869,0.07032804
tenure_days,0.016616307,0.0517069
total_invoices,0.07317227,0.04646535
avg_basket_90d,0.01830002,0.03805213
total_revenue,0.03475807,0.036203995
txn_count_90d,0.028632859,0.035620205
spend_slope,0.011870878,0.027759168
invoice_count_90d,0.034598026,0.027242078
avg_spend_90d,0.033325806,0.026447989
total_txns,0.017467914,0.022841351
distinct_products,0.010637296,0.013055574
spend_60d,0.03909457,0.0075110523
txn_count_60d,0.009311,0.005223066
txn_count_30d,0.01240419,0.005021266
avg_spend_30d,0.011950991,0.004744141
avg_order_value,0.008428122,0.004720012
spend_30d,0.01064368,0.004087683
avg_basket_size,0.009278934,0.0029195268
avg_spend_60d,0.015203711,0.0016326348
avg_basket_60d,0.00870915,0.0015100603
spend_std_60d,0.010283509,0.0007882171
avg_basket_30d,0.012576023,0.00045164052
invoice_count_60d,0.008022743,0.00024461088
spend_std_30d,0.0071367533,0.00015071583
invoice_count_30d,0.0,0.0
